image index, last exit, entropy, gt, pred, correct
0, 3, 0.09281338006258011, 2, 2, 1
1, 3, 0.08552132546901703, 44, 44, 1
2, 3, 0.1942993551492691, 52, 52, 1
3, 3, 0.13286647200584412, 14, 14, 1
4, 3, 0.07587172836065292, 34, 34, 1
5, 3, 0.03196689859032631, 55, 55, 1
6, 3, 0.0029235519468784332, 18, 18, 1
7, 3, 0.33883219957351685, 68, 89, 0
8, 3, 0.06477648764848709, 23, 23, 1
9, 3, 0.36012905836105347, 24, 24, 1
10, 3, 0.4622291922569275, 34, 63, 0
11, 3, 0.4032064378261566, 30, 55, 0
12, 3, 0.037140049040317535, 8, 8, 1
13, 3, 0.08136981725692749, 34, 34, 1
14, 3, 0.4642940163612366, 24, 40, 0
15, 3, 0.23503327369689941, 72, 80, 0
16, 3, 0.32239165902137756, 65, 46, 0
17, 3, 0.23930226266384125, 46, 46, 1
18, 3, 0.000855215999763459, 77, 77, 1
19, 3, 0.5163796544075012, 36, 20, 0
20, 3, 0.15043732523918152, 43, 43, 1
21, 3, 0.513974666595459, 65, 65, 1
22, 3, 0.0007095091277733445, 44, 44, 1
23, 3, 0.07174567133188248, 45, 45, 1
24, 3, 0.21039336919784546, 95, 95, 1
25, 3, 0.0025344525929540396, 28, 28, 1
26, 3, 0.07994167506694794, 84, 84, 1
27, 3, 0.21208274364471436, 38, 80, 0
28, 3, 0.6456092596054077, 3, 93, 0
29, 3, 0.17503339052200317, 59, 59, 1
30, 3, 0.1700773984193802, 45, 45, 1
31, 3, 0.4806940257549286, 32, 67, 0
32, 3, 0.2907499074935913, 51, 51, 1
33, 3, 0.06911958754062653, 62, 62, 1
34, 3, 0.32701390981674194, 31, 72, 0
35, 3, 0.018649568781256676, 77, 77, 1
36, 3, 0.15094459056854248, 11, 2, 0
37, 3, 0.16519078612327576, 2, 11, 0
38, 3, 0.2059689462184906, 79, 32, 0
39, 3, 0.005262816324830055, 65, 65, 1
40, 3, 0.10960735380649567, 80, 36, 0
41, 3, 0.15411406755447388, 71, 71, 1
42, 3, 0.41907671093940735, 95, 73, 0
43, 3, 0.08177701383829117, 27, 42, 0
44, 3, 0.09026989340782166, 56, 42, 0
45, 3, 0.27592766284942627, 10, 32, 0
46, 3, 0.119322270154953, 16, 16, 1
47, 3, 0.014270576648414135, 55, 27, 0
48, 3, 0.35737740993499756, 80, 97, 0
49, 3, 0.03953053057193756, 10, 10, 1
50, 3, 0.0045613315887749195, 34, 34, 1
51, 3, 0.30628928542137146, 99, 79, 0
52, 3, 0.06670643389225006, 62, 62, 1
53, 3, 0.4934201240539551, 29, 29, 1
54, 3, 0.42777183651924133, 78, 93, 0
55, 3, 0.3876338005065918, 83, 70, 0
56, 3, 0.20736385881900787, 72, 95, 0
57, 3, 0.1959155797958374, 8, 8, 1
58, 3, 0.004266843199729919, 17, 17, 1
59, 3, 0.2528184652328491, 83, 83, 1
60, 3, 0.10930083692073822, 9, 9, 1
61, 3, 0.0786772221326828, 54, 26, 0
62, 3, 0.13018980622291565, 4, 63, 0
63, 3, 0.28305602073669434, 54, 54, 1
64, 3, 0.04674661532044411, 75, 75, 1
65, 3, 0.298322856426239, 5, 25, 0
66, 3, 0.40293577313423157, 65, 65, 1
67, 3, 0.011868109926581383, 92, 92, 1
68, 3, 0.18042469024658203, 7, 7, 1
69, 3, 0.07992015779018402, 84, 84, 1
70, 3, 0.19852250814437866, 42, 97, 0
71, 3, 0.11348280310630798, 5, 84, 0
72, 3, 0.03081298992037773, 24, 24, 1
73, 3, 0.19606855511665344, 11, 35, 0
74, 3, 0.195115864276886, 10, 10, 1
75, 3, 0.16716232895851135, 28, 28, 1
76, 3, 0.18714261054992676, 93, 93, 1
77, 3, 0.06620511412620544, 35, 35, 1
78, 3, 0.03629147261381149, 25, 25, 1
79, 3, 0.16029909253120422, 29, 29, 1
80, 3, 0.2701059877872467, 57, 57, 1
81, 3, 0.1965024173259735, 13, 76, 0
82, 3, 0.4714471101760864, 79, 56, 0
83, 3, 0.03077680617570877, 44, 44, 1
84, 3, 0.15646910667419434, 30, 30, 1
85, 3, 0.23289525508880615, 6, 6, 1
86, 3, 0.26699814200401306, 46, 25, 0
87, 3, 0.4666953682899475, 18, 44, 0
88, 3, 0.4639679193496704, 31, 3, 0
89, 3, 0.5168740749359131, 41, 41, 1
90, 3, 0.21586671471595764, 52, 47, 0
91, 3, 0.2830573618412018, 72, 21, 0
92, 3, 0.15389463305473328, 30, 30, 1
93, 3, 0.3461150825023651, 26, 93, 0
94, 3, 0.19883278012275696, 59, 59, 1
95, 3, 0.19851836562156677, 93, 93, 1
96, 3, 0.011323082260787487, 66, 66, 1
97, 3, 0.10775227844715118, 9, 9, 1
98, 3, 0.39985084533691406, 23, 23, 1
99, 3, 0.3662393093109131, 70, 54, 0
100, 3, 0.21941342949867249, 87, 76, 0
101, 3, 0.11792219430208206, 87, 13, 0
102, 3, 0.21268212795257568, 32, 98, 0
103, 3, 0.3484741151332855, 38, 55, 0
104, 3, 0.08285780251026154, 61, 10, 0
105, 3, 0.15639805793762207, 2, 11, 0
106, 3, 0.021502669900655746, 74, 63, 0
107, 3, 0.2613756060600281, 86, 86, 1
108, 3, 0.11969536542892456, 96, 33, 0
109, 3, 0.0036919612903147936, 44, 27, 0
110, 3, 0.04594239220023155, 55, 55, 1
111, 3, 0.5064510703086853, 2, 89, 0
112, 3, 0.20851965248584747, 65, 65, 1
113, 3, 0.3031911253929138, 13, 81, 0
114, 3, 0.22942517697811127, 46, 11, 0
115, 3, 0.49161431193351746, 74, 33, 0
116, 3, 0.015791647136211395, 62, 70, 0
117, 3, 0.3364878296852112, 77, 74, 0
118, 3, 0.38268154859542847, 16, 16, 1
119, 3, 0.16476094722747803, 86, 86, 1
120, 3, 0.00011625987099250779, 75, 75, 1
121, 3, 0.0510578453540802, 93, 7, 0
122, 3, 0.043946702033281326, 95, 95, 1
123, 3, 0.04204805940389633, 37, 37, 1
124, 3, 0.2360418140888214, 55, 55, 1
125, 3, 0.007987537421286106, 91, 91, 1
126, 3, 0.14143064618110657, 25, 71, 0
127, 3, 0.30677708983421326, 24, 45, 0
128, 3, 0.034637149423360825, 6, 16, 0
129, 3, 0.4036900997161865, 97, 72, 0
130, 3, 0.22229677438735962, 16, 61, 0
131, 3, 0.052931759506464005, 99, 78, 0
132, 3, 0.11686381697654724, 61, 78, 0
133, 3, 0.06222212314605713, 29, 44, 0
134, 3, 0.34973639249801636, 18, 45, 0
135, 3, 0.23570503294467926, 43, 43, 1
136, 3, 0.037652529776096344, 60, 60, 1
137, 3, 0.04138947278261185, 95, 95, 1
138, 3, 0.39630192518234253, 69, 69, 1
139, 3, 0.26238614320755005, 11, 11, 1
140, 3, 0.4185347557067871, 34, 91, 0
141, 3, 0.33359116315841675, 15, 19, 0
142, 3, 0.008960822597146034, 32, 32, 1
143, 3, 0.23095831274986267, 72, 30, 0
144, 3, 0.028322599828243256, 48, 48, 1
145, 3, 0.11092299222946167, 77, 80, 0
146, 3, 0.164473295211792, 34, 34, 1
147, 3, 0.26812320947647095, 98, 22, 0
148, 3, 0.5628752112388611, 10, 36, 0
149, 3, 0.42106807231903076, 90, 85, 0
150, 3, 0.05798747390508652, 25, 20, 0
151, 3, 0.3190087080001831, 32, 67, 0
152, 3, 0.4226827025413513, 65, 65, 1
153, 3, 0.22977006435394287, 55, 72, 0
154, 3, 0.05495358631014824, 13, 13, 1
