image index, last exit, entropy, gt, pred, correct
0, 1, 0.4980810284614563, 9, 0, 0
1, 1, 0.49971383810043335, 2, 0, 0
2, 1, 0.4990989565849304, 0, 0, 1
3, 1, 0.49748167395591736, 9, 0, 0
4, 1, 0.4995078444480896, 2, 0, 0
5, 1, 0.49774348735809326, 2, 0, 0
6, 1, 0.49959951639175415, 6, 0, 0
7, 1, 0.4985794723033905, 2, 0, 0
8, 1, 0.49923446774482727, 9, 0, 0
9, 1, 0.4953979551792145, 0, 0, 1
10, 1, 0.4979536235332489, 9, 0, 0
11, 1, 0.49846360087394714, 2, 0, 0
12, 1, 0.4999260902404785, 9, 0, 0
13, 1, 0.49980664253234863, 2, 0, 0
14, 1, 0.49973824620246887, 9, 0, 0
15, 1, 0.4999215304851532, 2, 0, 0
16, 1, 0.4994017481803894, 2, 0, 0
17, 1, 0.49757081270217896, 8, 0, 0
18, 1, 0.4996742606163025, 2, 0, 0
19, 1, 0.49575453996658325, 2, 0, 0
20, 1, 0.4982219338417053, 2, 0, 0
21, 1, 0.4985690712928772, 0, 0, 1
