images,dataset_name,exp032,exp033,exp034,exp035,exp036,exp037,exp038,disagreement
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_RWTE-bwblWHGNHKU87DE5Q_heading_36_pitch_0.png,no_unknown,1,0,1,1,0,1,1,0.7142857142857143
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_DCU-f5MCdflmTBhVu6VIbg_heading_356_pitch_8.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Qn5jdTl90X9Qb4qf5Aiy5g_heading_58_pitch_-2.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_o-8ZX38QUTVNmudvATo4gw_heading_332_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_dg5oZl7psH17_pSn_AlX-g_heading_275_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_KBVsuGR3WOlYTdlE6SP-3Q_heading_75_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_pxMEueYIjOlGBsmZeGME_g_heading_338_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_IU5CnojMKVr7rr6lPGmQoA_heading_27_pitch_-4.png,no_unknown,0,0,1,1,0,1,1,0.5714285714285714
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_XgQ8-fWltAo5cym-Y9t62w_heading_291_pitch_-5.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_EuUCug3-Bk1teHtUJ9ogYw_heading_233_pitch_0.png,no_unknown,0,0,0,1,0,0,0,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_9tmmxQH1NV7kdOmKw4RRGA_heading_310_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_yHumBVaD6I8STx9j9MjBPA_heading_322_pitch_1.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_cMaL24RDqkxfAaov8xsfKA_heading_29_pitch_-5.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_gAXBqM4lhzoRYR45mUQOqA_heading_115_pitch_-2.png,no_unknown,0,1,0,0,0,0,0,0.14285714285714285
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_B0TF6rHX2snDzMdFG20c9g_heading_83_pitch_-2.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_4EnXCXFiXQTgjnQJE_xWEQ_heading_247_pitch_-4.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_vSLLw4-zAiME1EHP6edRug_heading_222_pitch_0.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_2XUXCrNUlZ3uJRmctGHH-g_heading_11_pitch_-2.png,no_unknown,0,1,1,1,1,0,0,0.5714285714285714
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_z-SxZ7Bi0pT0Q5jOb-e5dA_heading_183_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_Cft5XPK1zJJBnxZlD9OP8w_heading_156_pitch_0.png,no_unknown,1,1,1,1,1,1,1,1.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_KpYWXo9YnQ7LrzIb2_FS-g_heading_147_pitch_3.png,no_unknown,0,0,0,0,0,0,0,0.0
/scratch/arturao/TREES_STUFF/10k_nontrees/_panoid_sgkrpojoq8H8qLbl_26ZKA_heading_149_pitch_1.png,no_unknown,0,0,0,0,0,0,0,0.0
