VGG16 & remove & Yes & 82.62\% & 72.67\% \\
VGG16 & remove & No & 69.64\% & 67.66\% \\
ResNet50 & remove & Yes & 100\% & 84.13\% \\
ResNet50 & remove & No & 100\% & 80.19\% \\
ResNet152 & remove & Yes & 99.70\% & 79.00\% \\
ResNet152 & remove & No & 100\% & 83.53\% \\
MobileNetV3 Large & remove & Yes & 84.46\% & 77.33\% \\
MobileNetV3 Large & remove & No & 100\% & 82.94\% \\
EfficientNetB0 & remove & Yes & 98.69\% & 83.41\% \\
EfficientNetB0 & remove & No & 99.88\% & \textbf{85.56\%} \\
DenseNet161 & remove & Yes & 100\% & 84.49\% \\
DenseNet161 & remove & No & 100\% & 84.73\% \\
DenseNet121 & remove & Yes & 98.10\% & 84.37\% \\
DenseNet121 & remove & No & 99.64\% & 83.65\% \\
